test_id,timestamp,bytes_transferred,bandwidth_kbps,jitter_ms,lost_packets,lost_percent,retransmits,direction,Heartbeat,QUEUE RX,RING_LINK_MEM_TASK,QUEUE Internal,RING_LINK_PRE_INTERNAL_TASK,RING_LINK_NETIF_QUEUE_SIZE,
2,2024-10-26 09:55:21,244000,192.584528773184,0,0,0,153,upload,NO,10,32768,,,,
2,2024-10-26 09:55:33,294000,235.189698691197,0,0,0,180,download,NO,10,32768,,,,
3,2024-10-26 09:59:33,141192,112.441093495846,0,0,0,140,upload,NO,1,32768,,,,
3,2024-10-26 10:00:04,37500,29.9956806219904,0,0,0,82,download,NO,1,32768,,,,
4,2024-10-26 10:06:44,292192,232.408974636344,0,0,0,174,upload,NO,20,32768,,,,
4,2024-10-26 10:06:57,272000,217.573020945403,0,0,0,154,download,NO,20,32768,,,,
5,2024-10-26 10:10:31,329692,261.898390372121,0,0,0,184,upload,NO,30,32768,,,,
5,2024-10-26 10:10:44,252000,201.594516629148,0,0,0,144,download,NO,30,32768,,,,
6,2024-10-26 10:18:40,294192,232.771811453266,0,0,0,186,upload,NO,20,16384,,,,
6,2024-10-26 10:18:53,321500,257.191975610361,0,0,0,183,download,NO,20,16384,,,,
7,2024-10-27 18:29:07,463192,368.188540907481,0,0,0,208,upload,NO,20,16384,10,8192,10,8192
7,2024-10-27 18:29:20,395500,316.395697018521,0,0,0,161,download,NO,20,16384,10,8192,10,8192
8,2024-10-27 18:36:12,466000,371.166052802353,0,0,0,193,upload,NO,20,16384,10,8192,10,8192
8,2024-10-27 18:36:25,427500,341.995383062329,0,0,0,190,download,NO,20,16384,10,8192,10,8192
9,2024-10-27 18:36:37,59500,47.4011710479224,0,0,0,49,upload,NO,20,16384,10,8192,10,8192
9,2024-10-27 18:36:54,7000,5.59963042439199,0,0,0,18,download,NO,20,16384,10,8192,10,8192
10,2024-10-27 18:44:16,463192,366.690733140801,0,0,0,170,upload,NO,20,16384,10,8192,10,8192
10,2024-10-27 18:44:29,504500,403.594874345096,0,0,0,152,download,NO,20,16384,10,8192,10,8192
11,2024-10-27 18:46:41,368000,292.708990888737,0,0,0,170,upload,NO,20,16384,10,8192,10,8192
11,2024-10-27 18:46:55,485000,387.988864719583,0,0,0,164,download,NO,20,16384,10,8192,10,8192
12,2024-10-27 18:54:03,591000,470.129196037312,0,0,0,191,upload,NO,20,16384,10,8192,20,8192
12,2024-10-27 18:54:17,487000,389.595441733332,0,0,0,141,download,NO,20,16384,10,8192,20,8192
13,2024-10-27 18:54:29,355500,282.918638011372,0,0,0,168,upload,NO,20,16384,10,8192,20,8192
13,2024-10-27 18:54:43,345500,276.396959633444,0,0,0,156,download,NO,20,16384,10,8192,20,8192
14,2024-10-27 18:59:00,431192,343.15966422334,0,0,0,187,upload,NO,20,16384,10,8192,20,16384
14,2024-10-27 18:59:13,546500,437.170928133279,0,0,0,142,download,NO,20,16384,10,8192,20,16384
15,2024-10-27 18:59:25,382000,303.957293204605,0,0,0,170,upload,NO,20,16384,10,8192,20,16384
15,2024-10-27 18:59:38,419500,335.597483018877,0,0,0,151,download,NO,20,16384,10,8192,20,16384
16,2024-10-27 19:04:21,539692,429.827457198801,0,0,0,206,upload,SI,20,16384,10,8192,20,16384
16,2024-10-27 19:04:33,527000,421.59578404216,0,0,0,173,download,SI,20,16384,10,8192,20,16384
17,2024-10-27 19:04:46,500500,399.138721639619,0,0,0,169,upload,SI,20,16384,10,8192,20,16384
17,2024-10-27 19:04:59,588000,470.39670722305,0,0,0,189,download,SI,20,16384,10,8192,20,16384
18,2024-10-27 20:04:53,388000,308.934476629764,0,0,0,126,upload,SI,20,16384,10,8192,20,16384
18,2024-10-27 20:05:07,572500,457.996198631551,0,0,0,154,download,SI,20,16384,10,8192,20,16384
19,2024-10-27 20:05:20,432500,344.578578904162,0,0,0,133,upload,SI,20,16384,10,8192,20,16384
19,2024-10-27 20:05:34,474000,379.194312085319,0,0,0,154,download,SI,20,16384,10,8192,20,16384
